session,time,price_dayvwap_atr,price_weekvwap_atr,price_slvwap_atr,price_shvwap_atr,dayvwap_slvwap_spread_atr,shvwap_dayvwap_spread_atr,shvwap_slvwap_spread_atr,day_slope_atr,slvwap_slope_atr,shvwap_slope_atr,slvwap_freshness_bars,shvwap_freshness_bars,stack_bull,stack_bear,ret_h_close,ret_h_30bar,ret_h_60bar,label_ret_h_close,label_ret_h_30bar,label_ret_h_60bar
ASIA,2017-02-09 03:00:00,-0.3478348991878083,18.29674798483295,-0.35964962073025414,0.30664312090768353,-0.011814721542445858,-0.6544780200954918,-0.6662927416379377,-0.36751270027577615,-0.47358688306416,-0.8846850656129926,44,17,0,0,5.445098952723374,-0.5744829170305363,1.723448751091041,1.0,0.0,1.0
NY,2017-02-09 15:00:00,-4.508953761087789,12.956996958175479,-0.05691293871462193,-1.0476213842556534,4.452040822373167,-3.4613323768321353,0.9907084455410315,-0.07045326591448213,0.7575752985800566,0.12953003912904534,38,66,0,0,-11.15611647462668,2.807499510170515,-7.412783794398393,0.0,1.0,0.0
ASIA,2017-02-10 03:00:00,-0.7958540395476124,-16.575100505351703,1.1764989359373679,-4.265656396244334,1.9723529754849802,3.4698023566967215,5.442155332181702,-0.24203403237773352,1.528434386315161,-0.6010433303764856,16,100,0,1,-1.8558915736918669,-0.6326903092131255,-1.244290941452496,0.0,0.0,0.0
NY,2017-02-10 15:00:00,3.611817365032144,-16.972047212789725,0.5387816037144001,0.29134281189651257,-3.0730357613177435,3.320474553135631,0.24743879181788747,0.06559158287763292,0.5803816119314461,0.22255499168493234,20,30,0,0,9.880550575240056,-1.2447937732585803,8.246758747837948,1.0,0.0,1.0
ASIA,2017-02-13 03:00:00,1.3056920295604062,1.3056920295604062,1.6426733651591896,1.6440094907641787,0.33698133559878346,-0.3383174612037725,-0.0013361256049889943,0.19319030740583307,0.6193985780368018,0.5053539784070488,25,27,1,0,-3.09166642328875,1.074408898873353,-1.0963356110952378,0.0,1.0,0.0
NY,2017-02-13 15:00:00,-3.180788334160585,-3.180788334160585,-2.6085813265641837,-2.049914493710638,0.5722070075964013,-1.130873840449947,-0.5586668328535458,-0.04224238148295061,-0.2888452823348007,-0.5571770344388081,75,40,0,0,-15.157803675462084,-10.259873916384056,-16.49828971478859,0.0,0.0,0.0
ASIA,2017-02-14 03:00:00,-1.6711755179019339,-6.583892669309475,-1.814398885842855,-1.8009959498894295,-0.14322336794092114,0.12982043198749552,-0.013402935953425638,-0.5886505153679745,-0.7969797818393516,-0.9624915496955929,38,27,0,1,3.710130217280895,-0.7420260434563257,2.0647681209213755,1.0,0.0,1.0
NY,2017-02-14 15:00:00,10.037025093311238,10.356270211164029,6.36894156642315,5.973264946753389,-3.6680835268880894,4.06376014655785,0.3956766196697599,0.2527494086363567,0.8742641307638928,1.0056186920328152,60,46,0,0,-18.17432966604666,0.3918489969066177,-16.34570101381606,0.0,1.0,0.0
ASIA,2017-02-15 03:00:00,-3.6161669211236807,-5.023527635109068,-3.66571273913698,-3.0119899138869837,-0.04954581801329969,-0.6041770072366968,-0.6537228252499965,-1.2354558633482855,-1.2285341934367024,-1.218871204043272,62,47,0,0,1.3142497773218735,1.2606069292679694,1.8238568338345735,1.0,1.0,1.0
NY,2017-02-15 15:00:00,0.2927747974034844,-3.6313348362495637,-0.9282535717215034,-1.5888056603111558,-1.2210283691249877,1.8815804577146402,0.6605520885896525,0.017467337810433605,0.0007697221093061788,-0.1747858960528219,44,28,0,0,-3.339425930923949,-21.206781766468094,-0.42813152960530165,0.0,0.0,0.0
