trade_no,sl_atr_ratio,mins_from_session_open,vwap_distance_atr,spread_at_entry,bos_count,range_exited,sweep_depth_atr,net_r,label,session,model,order_kind,bias,weekday
805,2.014925373134328,58.0,6.4888059701492535,36.0,0.0,0.0,5.847014925373161,-0.0019,scratch,NY,IFVG,MARKET,BUY,Thursday
806,2.7336244541484715,90.0,7.593886462882097,36.0,0.0,0.0,1.10917030567684,-1.0016,loss,NY,CHoCH,LIMIT_DEGRADED,BUY,Thursday
807,3.28125,6.0,0.125,33.0,0.0,0.0,1.3125000000002274,-1.0095,loss,ASIA,IFVG,MARKET,BUY,Friday
808,3.7441860465116283,18.0,0.09302325581395349,36.0,0.0,0.0,0.8139534883718815,-0.0062,scratch,ASIA,IFVG,MARKET,BUY,Friday
809,2.214285714285714,68.0,0.07142857142857142,33.0,0.0,0.0,0.8214285714286363,-1.0081,loss,ASIA,CHoCH,LIMIT_DEGRADED,BUY,Friday
810,1.9650349650349652,40.0,9.6993006993007,33.0,0.0,1.0,1.2307692307693834,-1.0,loss,NY,CHoCH,LIMIT_DEGRADED,BUY,Friday
811,2.313131313131313,82.0,7.005050505050504,33.0,0.0,1.0,2.904040404040404,-1.0,loss,NY,IFVG,MARKET,BUY,Friday
812,1.8583690987124464,98.0,5.952789699570815,33.0,0.0,1.0,1.8969957081545377,-1.0,loss,NY,IFVG,MARKET,BUY,Friday
813,1.7209302325581395,34.0,0.930232558139535,33.0,0.0,0.0,1.9767441860473578,1.9595,win,ASIA,IFVG,MARKET,SELL,Monday
814,1.8809523809523812,12.0,2.25,33.0,1.0,1.0,0.5119047619051084,-1.019,loss,NY,CHoCH,LIMIT,BUY,Monday
815,3.2385321100917426,44.0,1.7339449541284402,33.0,0.0,1.0,2.7522935779816513,1.0312,win,NY,IFVG,MARKET,BUY,Monday
816,1.5,20.0,1.120689655172414,33.0,0.0,1.0,1.4310344827592794,0.0,scratch,ASIA,IFVG,MARKET,SELL,Tuesday
817,2.110091743119266,82.0,0.5963302752293578,33.0,0.0,1.0,3.844036697247756,-1.0,loss,ASIA,IFVG,MARKET,SELL,Tuesday
818,1.6796116504854368,108.0,0.6310679611650486,33.0,0.0,1.0,0.36893203883505743,-0.0116,scratch,ASIA,IFVG,MARKET,SELL,Tuesday
819,1.4585987261146496,38.0,2.1847133757961785,33.0,0.0,1.0,2.299363057324632,-1.0,loss,NY,IFVG,MARKET,SELL,Tuesday
820,2.084507042253521,62.0,2.415492957746479,36.0,0.0,1.0,2.753521126760781,-1.0,loss,NY,IFVG,MARKET,SELL,Tuesday
821,2.279761904761905,88.0,2.041666666666667,33.0,0.0,1.0,4.3571428571429545,-1.0104,loss,NY,IFVG,MARKET,SELL,Tuesday
822,2.389830508474576,40.0,0.01694915254237288,33.0,0.0,0.0,2.644067796610077,-1.0,loss,ASIA,IFVG,MARKET,SELL,Wednesday
823,1.7586206896551724,66.0,0.011494252873563218,34.0,0.0,0.0,3.6666666666667296,-0.0131,scratch,ASIA,IFVG,MARKET,SELL,Wednesday
824,2.520661157024793,22.0,0.6198347107438017,33.0,0.0,0.0,2.570247933884403,-1.0,loss,NY,IFVG,MARKET,SELL,Wednesday
825,1.0999999999999999,36.0,0.6818181818181818,33.0,0.0,0.0,0.14545454545441316,0.0,scratch,NY,IFVG,MARKET,SELL,Wednesday
826,1.4861111111111112,92.0,0.5208333333333334,36.0,0.0,1.0,4.624999999999899,0.0,scratch,NY,CHoCH,LIMIT_DEGRADED,SELL,Wednesday
827,2.4,42.0,3.5818181818181816,33.0,0.0,0.0,4.636363636363967,-1.0076,loss,ASIA,IFVG,MARKET,SELL,Thursday
828,1.8227848101265822,66.0,2.4936708860759493,33.0,0.0,0.0,1.544303797468101,-1.0139,loss,ASIA,IFVG,MARKET,SELL,Thursday
829,2.340909090909091,78.0,2.2386363636363638,33.0,0.0,0.0,0.6931818181819629,-1.0,loss,ASIA,IFVG,MARKET,SELL,Thursday
830,3.155440414507772,26.0,9.233160621761659,33.0,0.0,1.0,4.388601036269327,-1.0033,loss,NY,IFVG,MARKET,BUY,Thursday
831,3.384858044164038,54.0,5.621451104100947,35.0,0.0,1.0,1.5331230283912074,-1.0009,loss,NY,IFVG,MARKET,BUY,Thursday
832,2.1235632183908044,88.0,5.120689655172414,33.0,0.0,1.0,2.6005747126437306,-1.0027,loss,NY,IFVG,MARKET,BUY,Thursday
833,2.0,52.0,0.39344262295081966,33.0,1.0,0.0,4.459016393443041,-1.0,loss,ASIA,CHoCH,LIMIT,BUY,Friday
